room_number,max_occupants,disabled_friendly,has_balcony,in_use,has_air_conditioner,surface(sqm)
1,2,TRUE,FALSE,TRUE,TRUE,32.4
2,1,TRUE,TRUE,TRUE,TRUE,30.3
3,2,TRUE,FALSE,TRUE,FALSE,26.0
4,2,TRUE,TRUE,TRUE,FALSE,38.3
5,2,TRUE,TRUE,TRUE,TRUE,22.3
6,2,FALSE,FALSE,TRUE,TRUE,37.9
7,3,FALSE,TRUE,TRUE,FALSE,35.7
8,3,TRUE,TRUE,TRUE,FALSE,31.5
9,1,FALSE,FALSE,TRUE,FALSE,35.9
10,1,FALSE,FALSE,TRUE,FALSE,32.3
11,1,FALSE,TRUE,TRUE,TRUE,28.8
12,2,FALSE,TRUE,TRUE,TRUE,28.5
13,3,FALSE,FALSE,FALSE,TRUE,28.2
14,2,FALSE,TRUE,TRUE,TRUE,28.1
15,3,FALSE,FALSE,TRUE,FALSE,36.5
16,1,FALSE,TRUE,TRUE,TRUE,36.3
17,3,FALSE,TRUE,TRUE,FALSE,32.8
18,3,FALSE,TRUE,TRUE,TRUE,28.4
19,1,FALSE,FALSE,TRUE,TRUE,36.2
20,3,FALSE,TRUE,TRUE,FALSE,33.8
21,3,FALSE,FALSE,TRUE,FALSE,32.9
22,1,FALSE,FALSE,TRUE,FALSE,28.0
23,3,FALSE,TRUE,TRUE,TRUE,29.1
24,3,FALSE,TRUE,TRUE,FALSE,32.5
25,2,FALSE,FALSE,TRUE,TRUE,28.6
26,2,FALSE,FALSE,TRUE,TRUE,29.4
27,2,FALSE,TRUE,TRUE,TRUE,36.8
28,2,FALSE,TRUE,TRUE,FALSE,28.3
29,2,FALSE,FALSE,TRUE,FALSE,32.1
30,1,FALSE,TRUE,TRUE,TRUE,36.7
31,1,FALSE,FALSE,TRUE,TRUE,32.2
32,1,FALSE,FALSE,TRUE,FALSE,32.0
